Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,URL
2018-12-09,Save Mart Center,,"Fresno, California, United States",36.737798100000006,-119.78712469999999,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36824.html
2018-12-07,Golden 1 Center,,"Sacramento, California, United States",38.5815719,-121.49439960000001,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,https://www.metallica.com/events/event-36823.html
2018-12-05,Moda Center,,"Portland, Oregon, United States",45.5122308,-122.6587185,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'No Remorse', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36822.html
2018-12-02,Spokane Arena,,"Spokane, Washington, United States",47.6587802,-117.42604650000001,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'The Day That Never Comes', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,https://www.metallica.com/events/event-36821.html
2018-11-30,Vivint Smart Home Arena,,"Salt Lake City, Utah, United States",40.760779299999996,-111.89104740000002,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,https://www.metallica.com/events/event-36820.html
2018-11-28,Taco Bell Arena,,"Boise, Idaho, United States",43.6150186,-116.2023137,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36819.html
2018-11-26,T-Mobile Arena,,"Las Vegas, Nevada, United States",36.169941200000004,-115.13982959999998,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36818.html
2018-11-03,The Masonic,The All Within My Hands Helping Hands Concert & Auction,"San Francisco, California, United States",37.7749295,-122.4194155,,"['Disposable Heroes', 'When a Blind Man Cries', 'The Unforgiven', ""Please Don't Judas Me"", 'Turn the Page', 'Bleeding Me', 'Veteran of the Psychic Wars', 'Nothing Else Matters', 'All Within My Hands', 'Enter Sandman', 'The Four Horsemen', 'Hardwired']",Hardwired,[],,0.0,12.0,['Cage the Elephant'],False,False,False,False,False,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,https://www.metallica.com/events/2018-11-03-san-francisco-awmh-benefit.html
2018-10-29,Times Union Center,,"Albany, New York, United States",42.65257929999999,-73.7562317,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Fight Fire with Fire', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,https://www.metallica.com/events/event-36817.html
2018-10-27,Keybank Center,,"Buffalo, New York, United States",42.88644679999999,-78.8783689,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Battery', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,https://www.metallica.com/events/event-36816.html
2018-10-25,Wells Fargo Center,,"Philadelphia, Pennsylvania, United States",39.9525839,-75.1652215,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Day That Never Comes', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Phantom Lord', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,https://www.metallica.com/events/event-39651.html
2018-10-22,Spectrum Center,,"Charlotte, North Carolina, United States",35.2270869,-80.8431267,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36815.html
2018-10-20,Bryce Jordan Center,,"State College, Pennsylvania, United States",40.793394899999996,-77.8600012,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Blackened', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,https://www.metallica.com/events/event-36814.html
2018-10-18,Ppg Paints Arena,,"Pittsburgh, Pennsylvania, United States",40.44062479999999,-79.9958864,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36813.html
2018-10-16,Fiserv Forum,,"Milwaukee, Wisconsin, United States",43.0389025,-87.9064736,WorldWired,"['Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets']",Master of Puppets,"['Spit Out The Bone', 'Nothing Else Matters', 'Enter Sandman']",Enter Sandman,1.0,18.0,,False,False,False,False,False,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,https://www.metallica.com/events/event-36812.html
