"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'No Remorse', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'The Day That Never Comes', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Disposable Heroes', 'When a Blind Man Cries', 'The Unforgiven', ""Please Don't Judas Me"", 'Turn the Page', 'Bleeding Me', 'Veteran of the Psychic Wars', 'Nothing Else Matters', 'All Within My Hands', 'Enter Sandman', 'The Four Horsemen', 'Hardwired'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Wherever I May Roam', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Day That Never Comes', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Phantom Lord', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Whiplash', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Motorbreath', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Creeping Death', 'Seek and Destroy', 'Wherever I May Roam', 'The Unforgiven', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Halo On Fire', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'For Whom the Bell Tolls', 'Fade to Black', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Creeping Death', 'Seek and Destroy', 'For Whom the Bell Tolls', 'The Unforgiven', ""Now That We're Dead"", 'Moth Into Flame', 'Fade to Black', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'The Unforgiven', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Hit the Lights', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Wherever I May Roam', 'Fade to Black', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Four Horsemen', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Creeping Death', 'The Unforgiven', ""Now That We're Dead"", 'Wherever I May Roam', 'For Whom the Bell Tolls', 'Fade to Black', 'Whiplash', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Ride the Lightning', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Welcome Home (Sanitarium)', 'Motorbreath', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Memory Remains', 'The Unforgiven III', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Fade to Black', 'Hit the Lights', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'No Leaf Clover', ""Now That We're Dead"", 'Creeping Death', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Cyanide', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Harvester of Sorrow', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'The Unforgiven', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Stone Cold Crazy', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Shortest Straw', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Die, Die My Darling', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Holier Than Thou', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'The Wait', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
'The Star-Spangled Banner'
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'The Four Horsemen', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Last Caress', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'The Unforgiven', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Motorbreath', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Helpless', 'Creeping Death', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Hit the Lights', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Leper Messiah', 'Welcome Home (Sanitarium)', ""Now That We're Dead"", 'Dream No More', 'For Whom the Bell Tolls', 'Halo On Fire', 'Am I Evil?', 'Fuel', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
"'Hardwired', 'Atlas, Rise!', 'Seek and Destroy', 'Through the Never', 'Fade to Black', ""Now That We're Dead"", 'Confusion', 'For Whom the Bell Tolls', 'Halo On Fire', 'Breadfan', 'The Memory Remains', 'Moth Into Flame', 'Sad But True', 'One', 'Master of Puppets'"
